player_name,team,matches_bowled,balls_bowled,runs_conceded,wickets,economy,best_figures
M Muralitharan,Kochi Tuskers Kerala,5,117,145,2,6.67539267,04-Nov
M Muralitharan,Royal Challengers Bangalore,21,485,581,22,6.67539267,04-Nov
M Ntini,Chennai Super Kings,9,213,257,8,7.2,Apr-24
M Pathirana,Chennai Super Kings,20,503,617,38,7.303769401,Apr-30
M Prasidh Krishna,Kolkata Knight Riders,34,799,1177,33,8.541666667,May-30
M Prasidh Krishna,Rajasthan Royals,17,432,564,21,8.541666667,May-30
M Shahrukh Khan,Gujarat Titans,2,12,16,0,8,0/7
M Siddharth,Lucknow Super Giants,3,58,72,1,6.981818182,Jan-21
M Theekshana,Chennai Super Kings,27,631,814,25,7.75,Apr-33
M Vijay,Delhi Daredevils,1,6,13,0,8,0/8
M Vijay,Kings XI Punjab,3,31,36,0,8,0/8
M de Lange,Kolkata Knight Riders,3,64,108,3,8.777777778,Mar-34
M de Lange,Mumbai Indians,2,52,63,3,8.777777778,Mar-34
MA Khote,Mumbai Indians,2,30,52,2,10.4,Feb-30
MA Starc,Kolkata Knight Riders,13,267,450,20,7.985559567,Apr-20
MA Starc,Royal Challengers Bangalore,26,612,725,39,7.985559567,Apr-20
MA Wood,Chennai Super Kings,1,25,50,0,9.25,May-14
MA Wood,Lucknow Super Giants,4,102,142,11,9.25,May-14
MB Parmar,Kolkata Knight Riders,1,19,33,0,10.66666667,0/33
MC Henriques,Delhi Daredevils,1,24,35,1,8.008421053,Mar-14
MC Henriques,Kolkata Knight Riders,4,76,107,2,8.008421053,Mar-14
MC Henriques,Punjab Kings,5,61,47,4,8.008421053,Mar-14
MC Henriques,Royal Challengers Bangalore,8,132,187,8,8.008421053,Mar-14
MC Henriques,Sunrisers Hyderabad,42,686,926,31,8.008421053,Mar-14
MF Maharoof,Delhi Daredevils,20,441,532,33,7.2,Apr-13
MG Bracewell,Royal Challengers Bangalore,5,66,95,6,8.636363636,Feb-13
MG Johnson,Kings XI Punjab,26,640,904,31,8.04048583,Apr-31
MG Johnson,Kolkata Knight Riders,6,133,218,2,8.04048583,Apr-31
MG Johnson,Mumbai Indians,22,528,618,33,8.04048583,Apr-31
MG Neser,Kings XI Punjab,1,25,62,0,14.75,0/62
MJ Clarke,Pune Warriors,5,66,72,3,6.545454545,01-Oct
MJ Henry,Kings XI Punjab,2,31,71,2,10.58823529,Feb-31
MJ Henry,Lucknow Super Giants,4,74,112,1,10.58823529,Feb-31
MJ McClenaghan,Mumbai Indians,56,1346,1839,75,8.147566719,Apr-26
MJ Santner,Chennai Super Kings,18,370,428,16,6.770491803,Feb-13
MJ Suthar,Gujarat Titans,1,12,26,0,13,0/26
MK Lomror,Rajasthan Royals,6,61,74,1,8.2,01-Apr
MK Lomror,Royal Challengers Bangalore,4,24,35,1,8.2,01-Apr
MK Lomror,Royal Challengers Bengaluru,1,9,18,0,8.2,01-Apr
MK Tiwary,Delhi Daredevils,2,18,39,0,11.14285714,01-Nov
MK Tiwary,Kings XI Punjab,1,7,10,0,11.14285714,01-Nov
MK Tiwary,Kolkata Knight Riders,3,20,34,1,11.14285714,01-Nov
MM Ali,Chennai Super Kings,35,506,591,26,7.029023747,Apr-13
MM Ali,Royal Challengers Bangalore,17,264,309,14,7.029023747,Apr-13
MM Patel,Gujarat Lions,2,42,58,1,7.44797048,May-25
MM Patel,Mumbai Indians,31,708,889,42,7.44797048,May-25
MM Patel,Rajasthan Royals,30,632,786,39,7.44797048,May-25
MM Sharma,Chennai Super Kings,48,1003,1293,63,8.540612517,05-Nov
MM Sharma,Delhi Capitals,1,25,45,1,8.540612517,05-Nov
MM Sharma,Gujarat Titans,25,513,790,47,8.540612517,05-Nov
MM Sharma,Kings XI Punjab,37,767,1150,36,8.540612517,05-Nov
MN Samuels,Delhi Daredevils,2,18,34,0,7.822429907,Mar-39
MN Samuels,Pune Warriors,9,201,251,10,7.822429907,Mar-39
MP Stoinis,Delhi Capitals,21,253,411,15,9.414694894,Apr-21
MP Stoinis,Kings XI Punjab,18,275,435,14,9.414694894,Apr-21
MP Stoinis,Lucknow Super Giants,17,200,307,14,9.414694894,Apr-21
MP Stoinis,Royal Challengers Bangalore,6,103,147,2,9.414694894,Apr-21
MP Yadav,Lucknow Super Giants,4,76,88,8,6.904109589,Apr-15
MR Marsh,Deccan Chargers,3,64,89,2,8.239285714,Apr-25
MR Marsh,Delhi Capitals,15,262,377,17,8.239285714,Apr-25
MR Marsh,Pune Warriors,12,208,286,14,8.239285714,Apr-25
MR Marsh,Rising Pune Supergiants,3,55,45,4,8.239285714,Apr-25
MR Marsh,Sunrisers Hyderabad,1,4,6,0,8.239285714,Apr-25
MS Gony,Chennai Super Kings,26,529,721,24,8.635135135,Mar-14
MS Gony,Deccan Chargers,9,206,303,8,8.635135135,Mar-14
MS Gony,Gujarat Lions,1,15,32,0,8.635135135,Mar-14
MS Gony,Kings XI Punjab,8,175,261,7,8.635135135,Mar-14
MW Short,Punjab Kings,3,25,25,0,6,0/7
Mandeep Singh,Kings XI Punjab,2,12,26,0,13,0/8
Mashrafe Mortaza,Kolkata Knight Riders,1,28,59,1,12.75,Jan-59
Mayank Dagar,Royal Challengers Bengaluru,5,72,122,1,8.759124088,Jan-25
Mayank Dagar,Sunrisers Hyderabad,3,66,83,1,8.759124088,Jan-25
Mohammad Asif,Delhi Daredevils,8,199,307,9,9.34375,Feb-20
Mohammad Hafeez,Kolkata Knight Riders,4,63,71,2,6.4,01-Nov
Mohammad Nabi,Mumbai Indians,6,74,110,2,7.539568345,Apr-15
Mohammad Nabi,Sunrisers Hyderabad,17,345,417,13,7.539568345,Apr-15
Mohammed Shami,Delhi Daredevils,32,687,1025,29,8.257084189,04-Nov
Mohammed Shami,Gujarat Titans,33,781,1023,49,8.257084189,04-Nov
Mohammed Shami,Kings XI Punjab,28,673,959,45,8.257084189,04-Nov
Mohammed Shami,Kolkata Knight Riders,3,57,79,1,8.257084189,04-Nov
Mohammed Shami,Punjab Kings,14,323,400,20,8.257084189,04-Nov
Mohammed Siraj,Royal Challengers Bangalore,73,1590,2173,71,8.341164454,Apr-22
Mohammed Siraj,Royal Challengers Bengaluru,14,350,507,15,8.341164454,Apr-22
Mohammed Siraj,Sunrisers Hyderabad,6,141,214,10,8.341164454,Apr-22
Mohit Rathee,Punjab Kings,1,12,29,0,14.5,0/29
Mohsin Khan,Lucknow Super Giants,23,507,698,27,8.296296296,Apr-16
Monu Kumar,Chennai Super Kings,1,16,20,0,7,0/20
Mujeeb Ur Rahman,Kings XI Punjab,18,426,568,18,7.880184332,Mar-28
Mujeeb Ur Rahman,Sunrisers Hyderabad,1,26,30,2,7.880184332,Mar-28
Mukesh Choudhary,Chennai Super Kings,14,298,452,16,9.182795699,Apr-46
Mukesh Kumar,Delhi Capitals,20,420,707,31,10.28571429,Apr-60
Mustafizur Rahman,Chennai Super Kings,9,225,324,14,7.958429561,Apr-30
Mustafizur Rahman,Delhi Capitals,10,241,327,10,7.958429561,Apr-30
Mustafizur Rahman,Mumbai Indians,7,167,232,9,7.958429561,Apr-30
Mustafizur Rahman,Rajasthan Royals,14,327,448,18,7.958429561,Apr-30
Mustafizur Rahman,Sunrisers Hyderabad,17,393,461,19,7.958429561,Apr-30
N Burger,Rajasthan Royals,5,105,152,7,8.529411765,Feb-30
N Rana,Kolkata Knight Riders,23,179,250,10,8.266666667,02-Nov
N Rana,Mumbai Indians,1,6,3,0,8.266666667,02-Nov
N Thushara,Mumbai Indians,7,172,259,8,9.153846154,Mar-28
N Wadhera,Mumbai Indians,1,12,13,0,6.5,0/13
NA Saini,Rajasthan Royals,1,15,35,0,12,0/35
NB Singh,Gujarat Lions,2,25,18,1,4.25,01-Aug
ND Doshi,Rajasthan Royals,3,32,62,1,8.357142857,Jan-15
ND Doshi,Royal Challengers Bangalore,1,25,17,1,8.357142857,Jan-15
NJ Rimmington,Kings XI Punjab,1,18,20,0,6.666666667,0/20
NL McCullum,Pune Warriors,2,30,35,0,7,0/12
NLTC Perera,Chennai Super Kings,1,6,19,0,8.681948424,Mar-20
NLTC Perera,Kings XI Punjab,2,37,55,1,8.681948424,Mar-20
NLTC Perera,Kochi Tuskers Kerala,4,86,114,5,8.681948424,Mar-20
NLTC Perera,Mumbai Indians,2,15,27,0,8.681948424,Mar-20
NLTC Perera,Rising Pune Supergiants,11,202,326,10,8.681948424,Mar-20
NLTC Perera,Sunrisers Hyderabad,16,369,490,21,8.681948424,Mar-20
NM Coulter-Nile,Delhi Daredevils,16,383,478,22,7.554259043,Apr-14
NM Coulter-Nile,Kolkata Knight Riders,8,178,232,16,7.554259043,Apr-14
NM Coulter-Nile,Mumbai Indians,13,311,366,14,7.554259043,Apr-14
NM Coulter-Nile,Rajasthan Royals,1,20,49,0,7.554259043,Apr-14
NT Ellis,Punjab Kings,16,365,514,19,8.389830508,Apr-30
Naman Dhir,Mumbai Indians,3,29,55,0,11.57142857,0/13
Navdeep Saini,Rajasthan Royals,3,64,113,6,8.429447853,Mar-40
Navdeep Saini,Royal Challengers Bangalore,28,618,855,20,8.429447853,Mar-40
Naveen-ul-Haq,Lucknow Super Giants,17,407,602,26,8.907216495,Apr-39
Nithish Kumar Reddy,Sunrisers Hyderabad,9,118,208,4,10.95412844,Feb-17
Noor Ahmad,Gujarat Titans,23,513,672,24,7.914634146,Mar-37
O Thomas,Rajasthan Royals,4,63,85,5,8.1,02-Aug
OC McCoy,Rajasthan Royals,8,180,255,11,8.777777778,Mar-23
OF Smith,Punjab Kings,6,95,179,7,11.53333333,Apr-30
P Amarnath,Chennai Super Kings,6,132,241,7,10.95454545,Feb-30
P Awana,Kings XI Punjab,33,774,1046,43,8.088353414,Apr-34
P Dubey,Delhi Capitals,4,67,91,1,8.181818182,Jan-19
P Kumar,Gujarat Lions,22,427,562,16,7.599841521,Mar-16
P Kumar,Kings XI Punjab,44,1032,1192,35,7.599841521,Mar-16
P Kumar,Mumbai Indians,3,73,81,4,7.599841521,Mar-16
P Kumar,Royal Challengers Bangalore,38,875,1169,40,7.599841521,Mar-16
P Kumar,Sunrisers Hyderabad,12,230,338,7,7.599841521,Mar-16
P Negi,Chennai Super Kings,12,226,335,8,7.851955307,Apr-18
P Negi,Delhi Daredevils,12,213,265,9,7.851955307,Apr-18
P Negi,Royal Challengers Bangalore,18,294,354,21,7.851955307,Apr-18
P Parameswaran,Kochi Tuskers Kerala,5,97,137,4,8.376623377,Mar-30
P Parameswaran,Royal Challengers Bangalore,3,62,89,5,8.376623377,Mar-30
P Prasanth,Kochi Tuskers Kerala,1,6,18,0,18,0/18
P Ray Barman,Royal Challengers Bangalore,1,24,56,0,14,0/56
P Sahu,Kings XI Punjab,5,107,152,3,8.571428571,Feb-18
P Suyal,Mumbai Indians,5,107,154,2,8.75,Jan-22
PC Valthaty,Kings XI Punjab,10,153,207,7,7.986754967,Apr-29
PD Collingwood,Delhi Daredevils,6,90,101,5,6.741573034,Feb-19
PH Solanki,Chennai Super Kings,2,36,39,2,6.5,Feb-21
PJ Cummins,Delhi Daredevils,12,289,393,16,8.6656558,Apr-26
PJ Cummins,Kolkata Knight Riders,30,706,1012,32,8.6656558,Apr-26
PJ Cummins,Sunrisers Hyderabad,16,375,571,18,8.6656558,Apr-26
PJ Sangwan,Delhi Daredevils,28,651,855,34,8.425233645,Mar-19
PJ Sangwan,Gujarat Lions,7,135,232,6,8.425233645,Mar-19
PJ Sangwan,Gujarat Titans,3,56,66,3,8.425233645,Mar-19
PJ Sangwan,Kolkata Knight Riders,3,51,94,1,8.425233645,Mar-19
PJ Sangwan,Mumbai Indians,1,12,20,0,8.425233645,Mar-19
PM Sarvesh Kumar,Deccan Chargers,2,31,42,1,8.2,Jan-18
PP Chawla,Chennai Super Kings,7,128,191,7,7.943376623,Apr-21
PP Chawla,Kings XI Punjab,87,1806,2284,89,7.943376623,Apr-21
PP Chawla,Kolkata Knight Riders,69,1351,1855,68,7.943376623,Apr-21
PP Chawla,Mumbai Indians,28,610,849,37,7.943376623,Apr-21
PP Ojha,Deccan Chargers,53,1147,1378,66,7.336492891,Apr-30
PP Ojha,Mumbai Indians,37,798,1021,33,7.336492891,Apr-30
PV Tambe,Gujarat Lions,7,97,143,5,7.7,Apr-20
PV Tambe,Rajasthan Royals,26,577,723,23,7.7,Apr-20
PVD Chameera,Kolkata Knight Riders,1,19,49,0,8.893617021,Mar-48
PVD Chameera,Lucknow Super Giants,12,278,393,11,8.893617021,Mar-48
PWH de Silva,Royal Challengers Bangalore,26,557,758,36,8.163043478,May-19
Pankaj Singh,Rajasthan Royals,12,215,324,7,9.1,Feb-19
Pankaj Singh,Royal Challengers Bangalore,5,96,148,4,9.1,Feb-19
Parvez Rasool,Pune Warriors,2,30,29,1,8.181818182,Jan-20
Parvez Rasool,Royal Challengers Bangalore,4,84,130,1,8.181818182,Jan-20
Parvez Rasool,Sunrisers Hyderabad,5,86,114,2,8.181818182,Jan-20
R Ashwin,Chennai Super Kings,94,2081,2231,99,6.946949602,May-25
R Ashwin,Delhi Capitals,28,590,727,23,6.946949602,May-25
R Ashwin,Kings XI Punjab,28,656,811,28,6.946949602,May-25
R Ashwin,Rajasthan Royals,44,1074,1345,37,6.946949602,May-25
R Ashwin,Rising Pune Supergiants,14,278,321,11,6.946949602,May-25
R Bhatia,Delhi Daredevils,21,365,474,23,7.419315403,Apr-15
R Bhatia,Kolkata Knight Riders,43,783,947,38,7.419315403,Apr-15
R Bhatia,Rajasthan Royals,14,262,334,13,7.419315403,Apr-15
R Bhatia,Rising Pune Supergiant,3,43,55,2,7.419315403,Apr-15
R Bhatia,Rising Pune Supergiants,10,208,249,6,7.419315403,Apr-15
R Dhawan,Kings XI Punjab,20,418,540,18,7.975830816,Feb-18
R Dhawan,Mumbai Indians,5,95,115,2,7.975830816,Feb-18
R Dhawan,Punjab Kings,11,180,267,7,7.975830816,Feb-18
R Goyal,Mumbai Indians,1,24,34,0,8.5,0/34
R McLaren,Kings XI Punjab,6,111,182,5,8.966101695,Mar-61
R McLaren,Kolkata Knight Riders,2,46,95,4,8.966101695,Mar-61
R McLaren,Mumbai Indians,10,215,281,5,8.966101695,Mar-61
R Ninan,Royal Challengers Bangalore,2,36,65,3,10.83333333,Feb-31
R Parag,Rajasthan Royals,21,181,307,5,10.28571429,01-Jul
R Powell,Delhi Capitals,2,21,35,1,10.66666667,Jan-18
R Rampaul,Royal Challengers Bangalore,12,278,319,17,6.895522388,Mar-31
R Ravindra,Chennai Super Kings,2,12,7,0,3.5,0/3
R Sai Kishore,Gujarat Titans,10,191,259,13,8.193548387,Apr-33
R Sanjay Yadav,Mumbai Indians,1,14,23,0,10.5,0/23
R Sathish,Kings XI Punjab,3,24,52,1,9.841726619,Feb-20
R Sathish,Kolkata Knight Riders,3,38,59,2,9.841726619,Feb-20
R Sathish,Mumbai Indians,8,82,122,3,9.841726619,Feb-20
R Sharma,Deccan Chargers,6,126,170,6,7.066810345,Mar-13
R Sharma,Delhi Daredevils,2,36,65,1,7.066810345,Mar-13
R Sharma,Pune Warriors,36,773,865,35,7.066810345,Mar-13
R Shepherd,Mumbai Indians,5,76,162,2,11.9047619,Mar-42
R Shepherd,Sunrisers Hyderabad,3,57,98,4,11.9047619,Mar-42
R Shukla,Delhi Daredevils,3,58,105,3,10.3,Feb-27
R Shukla,Mumbai Indians,1,19,32,0,10.3,Feb-27
R Shukla,Rajasthan Royals,3,53,80,4,10.3,Feb-27
R Tewatia,Delhi Capitals,3,39,42,2,7.779359431,Mar-18
R Tewatia,Delhi Daredevils,8,134,174,6,7.779359431,Mar-18
R Tewatia,Gujarat Titans,7,50,91,1,7.779359431,Mar-18
R Tewatia,Kings XI Punjab,3,55,51,3,7.779359431,Mar-18
R Tewatia,Rajasthan Royals,31,588,759,24,7.779359431,Mar-18
R Vinay Kumar,Kochi Tuskers Kerala,13,278,345,17,8.330042313,May-40
R Vinay Kumar,Kolkata Knight Riders,11,219,359,12,8.330042313,May-40
R Vinay Kumar,Mumbai Indians,17,342,467,15,8.330042313,May-40
R Vinay Kumar,Royal Challengers Bangalore,63,1347,1870,83,8.330042313,May-40
RA Jadeja,Chennai Super Kings,159,3001,3761,139,7.556019849,May-16
RA Jadeja,Gujarat Lions,26,476,672,14,7.556019849,May-16
RA Jadeja,Kochi Tuskers Kerala,14,261,307,9,7.556019849,May-16
RA Jadeja,Rajasthan Royals,12,157,177,7,7.556019849,May-16
RA Shaikh,Mumbai Indians,1,6,11,0,11,0/11
RA Tripathi,Rising Pune Supergiant,1,6,12,0,12,0/12
RD Chahar,Mumbai Indians,39,871,1073,42,7.651442308,Apr-31
RD Chahar,Punjab Kings,36,780,1033,32,7.651442308,Apr-31
RD Chahar,Rising Pune Supergiant,2,46,59,2,7.651442308,Apr-31
RE van der Merwe,Delhi Daredevils,10,219,225,14,6.812641084,Mar-20
RE van der Merwe,Royal Challengers Bangalore,11,236,290,11,6.812641084,Mar-20
RG More,Chennai Super Kings,2,37,63,1,10.45714286,Jan-35
RG Sharma,Deccan Chargers,22,284,348,15,7.911504425,04-Jul
RG Sharma,Mumbai Indians,10,65,114,1,7.911504425,04-Jul
RJ Gleeson,Chennai Super Kings,2,51,72,1,8.680851064,Jan-31
RJ Harris,Deccan Chargers,16,387,474,21,7.456730769,Apr-34
RJ Harris,Kings XI Punjab,21,478,611,26,7.456730769,Apr-34
RJ Peterson,Mumbai Indians,4,48,70,3,8.75,Mar-37
RJW Topley,Royal Challengers Bangalore,1,12,14,1,10.41176471,Feb-27
RJW Topley,Royal Challengers Bengaluru,4,95,168,4,10.41176471,Feb-27
RN ten Doeschate,Kolkata Knight Riders,10,83,94,3,6.769230769,01-Apr
RP Meredith,Mumbai Indians,13,307,450,17,8.829896907,Mar-27
RP Meredith,Punjab Kings,5,108,171,4,8.829896907,Mar-27
RP Singh,Deccan Chargers,42,973,1274,57,7.764507042,May-22
RP Singh,Kochi Tuskers Kerala,14,314,365,15,7.764507042,May-22
RP Singh,Mumbai Indians,11,260,328,11,7.764507042,May-22
RP Singh,Rising Pune Supergiants,4,76,114,3,7.764507042,May-22
RP Singh,Royal Challengers Bangalore,11,251,336,14,7.764507042,May-22
RR Bhatkal,Royal Challengers Bangalore,1,12,35,0,17.5,0/35
RR Bose,Kings XI Punjab,1,12,24,0,12,0/24
RR Powar,Kings XI Punjab,21,371,426,13,7.211267606,02-Nov
RR Powar,Kochi Tuskers Kerala,5,72,112,2,7.211267606,02-Nov
RR Raje,Mumbai Indians,10,144,214,7,8.805755396,Feb-16
RS Bopara,Kings XI Punjab,7,90,137,5,8.300970874,Mar-31
RS Bopara,Sunrisers Hyderabad,7,123,164,8,8.300970874,Mar-31
RS Gavaskar,Kolkata Knight Riders,1,6,8,0,8,0/8
RS Hangargekar,Chennai Super Kings,2,43,60,3,8.833333333,Mar-36
RV Gomez,Kochi Tuskers Kerala,8,91,125,5,8.0625,Feb-14
RV Gomez,Pune Warriors,1,6,5,1,8.0625,Feb-14
RV Patel,Delhi Capitals,1,20,22,0,6.666666667,0/22
RW Price,Mumbai Indians,1,18,33,0,11,0/33
Ramandeep Singh,Kolkata Knight Riders,1,4,9,0,8.85,Mar-20
Ramandeep Singh,Mumbai Indians,3,41,55,6,8.85,Mar-20
Rashid Khan,Gujarat Titans,45,1055,1357,58,6.883704735,May-24
Rashid Khan,Sunrisers Hyderabad,76,1846,1983,99,6.883704735,May-24
Rasikh Salam,Delhi Capitals,8,156,271,9,10.06153846,Mar-35
Rasikh Salam,Kolkata Knight Riders,2,24,28,0,10.06153846,Mar-35
Rasikh Salam,Mumbai Indians,1,27,42,0,10.06153846,Mar-35
Ravi Bishnoi,Kings XI Punjab,14,318,381,14,7.666902906,Mar-26
Ravi Bishnoi,Lucknow Super Giants,42,922,1240,41,7.666902906,Mar-26
Ravi Bishnoi,Punjab Kings,9,220,240,13,7.666902906,Mar-26
S Aravind,Royal Challengers Bangalore,38,788,1057,48,8.092105263,Apr-14
S Badree,Chennai Super Kings,4,87,103,2,7.418604651,04-Oct
S Badree,Rajasthan Royals,1,25,35,0,7.418604651,04-Oct
S Badree,Royal Challengers Bangalore,7,151,191,9,7.418604651,04-Oct
S Dhawan,Deccan Chargers,6,49,72,4,8.875,01-Aug
S Dube,Chennai Super Kings,3,20,54,1,9.910714286,Mar-17
S Dube,Rajasthan Royals,4,31,53,0,9.910714286,Mar-17
S Dube,Royal Challengers Bangalore,7,66,83,5,9.910714286,Mar-17
S Gopal,Mumbai Indians,9,158,222,10,8.143289606,Apr-16
S Gopal,Rajasthan Royals,41,824,1102,42,8.143289606,Apr-16
S Gopal,Sunrisers Hyderabad,1,18,34,1,8.143289606,Apr-16
S Joseph,Lucknow Super Giants,1,30,51,0,10,0/51
S Kaul,Delhi Daredevils,11,215,308,7,8.615384615,Apr-30
S Kaul,Royal Challengers Bangalore,1,24,43,0,8.615384615,Apr-30
S Kaul,Sunrisers Hyderabad,43,999,1421,56,8.615384615,Apr-30
S Kaushik,Gujarat Lions,10,210,304,6,8.764705882,Mar-20
S Ladda,Delhi Daredevils,5,92,144,4,9.608695652,Feb-45
S Ladda,Gujarat Lions,1,12,21,0,9.608695652,Feb-45
S Ladda,Kolkata Knight Riders,3,37,60,1,9.608695652,Feb-45
S Lamichhane,Delhi Capitals,6,138,211,9,8.457142857,Mar-36
S Lamichhane,Delhi Daredevils,3,73,86,5,8.457142857,Mar-36
S Midhun,Rajasthan Royals,1,13,29,0,14,0/29
S Nadeem,Delhi Daredevils,59,1229,1494,44,7.454416961,Mar-16
S Nadeem,Sunrisers Hyderabad,11,215,306,10,7.454416961,Mar-16
S Narwal,Kolkata Knight Riders,1,14,17,0,11.09433962,Apr-36
S Narwal,Rajasthan Royals,5,99,186,6,11.09433962,Apr-36
S Rana,Pune Warriors,1,4,2,0,6.75,0/2
S Rana,Royal Challengers Bangalore,2,12,16,0,6.75,0/2
S Randiv,Chennai Super Kings,8,180,223,8,7.482758621,Feb-24
S Sandeep Warrier,Gujarat Titans,5,70,122,6,8.678571429,Mar-15
S Sandeep Warrier,Kolkata Knight Riders,5,106,135,2,8.678571429,Mar-15
S Sreesanth,Kings XI Punjab,28,605,838,30,7.636363636,Mar-22
S Sreesanth,Kochi Tuskers Kerala,9,206,212,7,7.636363636,Mar-22
S Sreesanth,Rajasthan Royals,7,136,171,6,7.636363636,Mar-22
S Sriram,Delhi Daredevils,1,6,25,0,16.33333333,0/24
S Sriram,Royal Challengers Bangalore,1,12,24,0,16.33333333,0/24
S Tyagi,Chennai Super Kings,14,220,304,6,8.38277512,Feb-19
S Vidyut,Chennai Super Kings,1,13,22,1,10.5,Jan-22
SA Abbott,Royal Challengers Bangalore,2,32,57,0,11,Jan-47
SA Abbott,Sunrisers Hyderabad,1,27,47,1,11,Jan-47
SA Yadav,Kolkata Knight Riders,1,6,8,0,8,0/8
SB Bangar,Deccan Chargers,9,153,221,6,8.56,Feb-31
SB Jakati,Chennai Super Kings,48,924,1200,48,7.985253456,Apr-23
SB Jakati,Gujarat Lions,8,155,233,2,7.985253456,Apr-23
SB Jakati,Royal Challengers Bangalore,1,22,41,0,7.985253456,Apr-23
SB Joshi,Royal Challengers Bangalore,4,55,82,1,8.945454545,Jan-27
SB Styris,Chennai Super Kings,1,6,13,0,7.555555556,Mar-32
SB Styris,Deccan Chargers,10,216,265,9,7.555555556,Mar-32
SB Wagh,Pune Warriors,7,102,131,4,8.294117647,Mar-16
SB Wagh,Rajasthan Royals,1,6,16,1,8.294117647,Mar-16
SC Ganguly,Kolkata Knight Riders,16,219,273,9,7.934782609,Mar-23
SC Ganguly,Pune Warriors,4,61,97,3,7.934782609,Mar-23
SC Kuggeleijn,Chennai Super Kings,2,50,71,2,8.625,Feb-37
SD Chitnis,Mumbai Indians,2,38,62,2,9.333333333,Feb-41
SE Bond,Kolkata Knight Riders,8,191,225,9,7.064516129,Feb-24
SE Rutherford,Delhi Capitals,6,46,60,1,8.048780488,01-Jun
SH Johnson,Gujarat Titans,5,99,155,4,9.5,Feb-25
SJ Srivastava,Kings XI Punjab,14,306,444,15,8.765957447,Feb-20
SK Raina,Chennai Super Kings,59,797,953,29,7.381057269,2/0
SK Raina,Gujarat Lions,10,133,186,1,7.381057269,2/0
SK Trivedi,Rajasthan Royals,75,1557,1944,73,7.422310757,Apr-16
SK Warne,Rajasthan Royals,54,1223,1465,60,7.165829146,Apr-22
SL Malinga,Mumbai Indians,122,2974,3486,188,6.997171146,May-13
SM Boland,Rising Pune Supergiants,2,43,56,3,7.857142857,Mar-31
SM Curran,Chennai Super Kings,22,474,680,24,9.459779848,Apr-13
SM Curran,Kings XI Punjab,9,207,325,11,9.459779848,Apr-13
SM Curran,Punjab Kings,27,553,919,27,9.459779848,Apr-13
SM Harwood,Rajasthan Royals,3,67,74,3,6.2,Feb-26
SM Pollock,Mumbai Indians,13,280,307,13,6.586956522,04-Dec
SMSM Senanayake,Kolkata Knight Riders,8,195,211,9,6.5,Feb-26
SN Khan,Kings XI Punjab,1,2,6,0,18,0/6
SN Thakur,Chennai Super Kings,56,1273,1843,63,8.900321543,Apr-36
SN Thakur,Delhi Capitals,14,315,485,16,8.900321543,Apr-36
SN Thakur,Kings XI Punjab,1,20,39,1,8.900321543,Apr-36
SN Thakur,Kolkata Knight Riders,9,132,222,7,8.900321543,Apr-36
SN Thakur,Rising Pune Supergiant,12,239,319,13,8.900321543,Apr-36
SP Narine,Kolkata Knight Riders,175,4146,4672,200,6.733643715,May-13
SPD Smith,Pune Warriors,1,2,5,0,15,0/5
SR Tendulkar,Mumbai Indians,4,37,59,0,9.666666667,0/8
SR Watson,Chennai Super Kings,11,176,252,7,7.753573189,Apr-23
SR Watson,Rajasthan Royals,70,1436,1754,72,7.753573189,Apr-23
SR Watson,Royal Challengers Bangalore,24,525,736,28,7.753573189,Apr-23
SS Agarwal,Gujarat Lions,1,24,42,1,10.5,Jan-42
SS Cottrell,Kings XI Punjab,6,131,177,6,8.1,Feb-17
SS Iyer,Kolkata Knight Riders,1,6,7,0,7,0/7
SS Mundhe,Pune Warriors,1,7,6,1,5,01-Jun
SS Sarkar,Kolkata Knight Riders,2,25,34,1,8.16,Jan-15
SSB Magala,Chennai Super Kings,2,37,52,1,8.5,Jan-38
ST Jayasuriya,Mumbai Indians,21,301,396,16,7.775510204,Apr-14
STR Binny,Mumbai Indians,1,6,9,0,7.535353535,Mar-14
STR Binny,Rajasthan Royals,47,464,570,23,7.535353535,Mar-14
STR Binny,Royal Challengers Bangalore,15,141,184,5,7.535353535,Mar-14
SW Tait,Rajasthan Royals,21,534,668,26,7.357293869,Apr-25
SZ Mulani,Mumbai Indians,2,33,57,0,10.8,0/24
Sachin Baby,Royal Challengers Bangalore,2,10,8,3,4.8,02-Apr
Sandeep Sharma,Kings XI Punjab,56,1273,1623,76,7.728561304,May-18
Sandeep Sharma,Punjab Kings,5,126,156,3,7.728561304,May-18
Sandeep Sharma,Rajasthan Royals,22,526,712,30,7.728561304,May-18
Sandeep Sharma,Sunrisers Hyderabad,43,1000,1267,44,7.728561304,May-18
Shahbaz Ahmed,Royal Challengers Bangalore,27,383,573,14,9.296089385,03-Jul
Shahbaz Ahmed,Sunrisers Hyderabad,15,166,277,7,9.296089385,03-Jul
Shahid Afridi,Deccan Chargers,10,185,237,9,7.733333333,Mar-28
Shakib Al Hasan,Kolkata Knight Riders,50,1104,1311,53,7.386792453,Mar-17
Shakib Al Hasan,Sunrisers Hyderabad,20,411,553,18,7.386792453,Mar-17
Shashank Singh,Punjab Kings,1,6,5,1,8,01-May
Shashank Singh,Sunrisers Hyderabad,2,13,20,0,8,01-May
Shivam Mavi,Kolkata Knight Riders,32,687,958,33,8.37596302,Apr-21
