player_name,team,matches_played,runs,balls_faced,dismissals,average,strike_rate,highest_score
TL Suman,Deccan Chargers,26,544,457,17,32,119.0371991,78
TL Suman,Mumbai Indians,8,80,72,8,10,111.1111111,78
TL Suman,Pune Warriors,5,52,58,5,10.4,89.65517241,78
TM Dilshan,Delhi Daredevils,26,566,491,20,28.3,115.2749491,76
TM Dilshan,Royal Challengers Bangalore,24,587,556,21,27.95238095,105.5755396,76
TM Head,Royal Challengers Bangalore,10,205,151,6,34.16666667,135.7615894,102
TM Head,Sunrisers Hyderabad,15,567,307,14,40.5,184.6905537,102
TM Srivastava,Kings XI Punjab,3,8,11,1,8,72.72727273,7
TR Birt,Delhi Daredevils,5,75,59,5,15,127.1186441,27
TS Mills,Mumbai Indians,2,0,3,1,0,0,6
TS Mills,Royal Challengers Bangalore,3,8,11,3,2.666666667,72.72727273,6
TU Deshpande,Chennai Super Kings,2,0,3,0,0,0,20
TU Deshpande,Delhi Capitals,2,21,12,1,21,175,20
Tanush Kotian,Rajasthan Royals,1,24,32,1,24,75,24
Tilak Varma,Mumbai Indians,38,1156,830,28,41.28571429,139.2771084,84
U Kaul,Kings XI Punjab,1,0,1,0,0,0,0
UA Birla,Pune Warriors,1,7,15,1,7,46.66666667,7
UBT Chand,Delhi Daredevils,13,196,210,13,15.07692308,93.33333333,58
UBT Chand,Mumbai Indians,6,102,94,6,17,108.5106383,58
UBT Chand,Rajasthan Royals,1,2,10,1,2,20,58
UT Khawaja,Rising Pune Supergiants,6,127,105,5,25.4,120.952381,30
UT Yadav,Delhi Daredevils,13,44,56,4,11,78.57142857,24
UT Yadav,Gujarat Titans,2,12,15,1,12,80,24
UT Yadav,Kolkata Knight Riders,22,124,100,10,12.4,124,24
UT Yadav,Royal Challengers Bangalore,11,28,40,6,4.666666667,70,24
Umar Gul,Kolkata Knight Riders,4,39,19,3,13,205.2631579,24
Umran Malik,Sunrisers Hyderabad,5,23,16,1,23,143.75,19
V Kohli,Royal Challengers Bangalore,229,7273,5739,205,35.47804878,126.7293954,113
V Kohli,Royal Challengers Bengaluru,15,741,497,13,57,149.0945674,113
V Pratap Singh,Deccan Chargers,1,0,1,1,0,0,0
V Sehwag,Delhi Daredevils,79,2174,1410,73,29.78082192,154.1843972,122
V Sehwag,Kings XI Punjab,25,554,423,25,22.16,130.9692671,122
V Shankar,Delhi Daredevils,9,212,156,4,53,135.8974359,63
V Shankar,Gujarat Titans,21,403,310,17,23.70588235,130,63
V Shankar,Sunrisers Hyderabad,28,500,424,22,22.72727273,117.9245283,63
V Viyaskanth,Sunrisers Hyderabad,1,7,5,0,7,140,7
VG Arora,Kolkata Knight Riders,3,4,3,0,4,133.3333333,2
VG Arora,Punjab Kings,4,5,14,2,2.5,35.71428571,2
VH Zol,Royal Challengers Bangalore,2,29,26,2,14.5,111.5384615,16
VR Aaron,Delhi Daredevils,3,1,8,1,1,12.5,17
VR Aaron,Kings XI Punjab,2,4,11,1,4,36.36363636,17
VR Aaron,Rajasthan Royals,3,4,17,1,4,23.52941176,17
VR Aaron,Royal Challengers Bangalore,4,41,37,1,41,110.8108108,17
VR Iyer,Kolkata Knight Riders,49,1326,1000,43,30.8372093,132.6,104
VRV Singh,Kings XI Punjab,2,4,3,1,4,133.3333333,4
VS Malik,Kings XI Punjab,1,6,5,1,6,120,6
VS Malik,Rajasthan Royals,1,1,2,0,1,50,6
VS Yeligati,Mumbai Indians,1,2,2,1,2,100,2
VVS Laxman,Deccan Chargers,17,238,229,14,17,103.930131,52
VVS Laxman,Kochi Tuskers Kerala,3,44,42,2,22,104.7619048,52
